Date,Type,Report
2021-04-22,Monetary Policy Decisions,"
22 April 2021
At today’s meeting, the Governing Council decided to reconfirm its very accommodative monetary policy stance:
The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
The Governing Council will continue to conduct net asset purchases under the pandemic emergency purchase programme (PEPP) with a total envelope of €1,850 billion until at least the end of March 2022 and, in any case, until it judges that the coronavirus crisis phase is over. Since the incoming information confirmed the joint assessment of financing conditions and the inflation outlook carried out at the March monetary policy meeting, the Governing Council expects purchases under the PEPP over the current quarter to continue to be conducted at a significantly higher pace than during the first months of the year.
The Governing Council will purchase flexibly according to market conditions and with a view to preventing a tightening of financing conditions that is inconsistent with countering the downward impact of the pandemic on the projected path of inflation. In addition, the flexibility of purchases over time, across asset classes and among jurisdictions will continue to support the smooth transmission of monetary policy. If favourable financing conditions can be maintained with asset purchase flows that do not exhaust the envelope over the net purchase horizon of the PEPP, the envelope need not be used in full. Equally, the envelope can be recalibrated if required to maintain favourable financing conditions to help counter the negative pandemic shock to the path of inflation. 
The Governing Council will continue to reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2023. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance. 
Net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. 
The Governing Council also intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
Finally, the Governing Council will continue to provide ample liquidity through its refinancing operations. In particular, the latest operation in the third series of targeted longer-term refinancing operations (TLTRO III) has registered a high take-up of funds. The funding obtained through TLTRO III plays a crucial role in supporting bank lending to firms and households.
The Governing Council stands ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry. 
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2021-03-11,Monetary Policy Decisions,"
11 March 2021
The Governing Council took the following decisions: 
First, the Governing Council will continue to conduct net asset purchases under the pandemic emergency purchase programme (PEPP) with a total envelope of €1,850 billion until at least the end of March 2022 and, in any case, until it judges that the coronavirus crisis phase is over. Based on a joint assessment of financing conditions and the inflation outlook, the Governing Council expects purchases under the PEPP over the next quarter to be conducted at a significantly higher pace than during the first months of this year.
The Governing Council will purchase flexibly according to market conditions and with a view to preventing a tightening of financing conditions that is inconsistent with countering the downward impact of the pandemic on the projected path of inflation. In addition, the flexibility of purchases over time, across asset classes and among jurisdictions will continue to support the smooth transmission of monetary policy. If favourable financing conditions can be maintained with asset purchase flows that do not exhaust the envelope over the net purchase horizon of the PEPP, the envelope need not be used in full. Equally, the envelope can be recalibrated if required to maintain favourable financing conditions to help counter the negative pandemic shock to the path of inflation. 
The Governing Council will continue to reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2023. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance. 
Second, net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. 
The Governing Council also intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
Third, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
Finally, the Governing Council will continue to provide ample liquidity through its refinancing operations. In particular, the third series of targeted longer-term refinancing operations (TLTRO III) remains an attractive source of funding for banks, supporting bank lending to firms and households.
The Governing Council stands ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry. 
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2021-01-21,Monetary Policy Decisions,"
21 January 2021
The Governing Council decided to reconfirm its very accommodative monetary policy stance.
First, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
Second, the Governing Council will continue the purchases under the pandemic emergency purchase programme (PEPP) with a total envelope of €1,850 billion. The Governing Council will conduct net asset purchases under the PEPP until at least the end of March 2022 and, in any case, until it judges that the coronavirus crisis phase is over. The purchases under the PEPP will be conducted to preserve favourable financing conditions over the pandemic period. If favourable financing conditions can be maintained with asset purchase flows that do not exhaust the envelope over the net purchase horizon of the PEPP, the envelope need not be used in full. Equally, the envelope can be recalibrated if required to maintain favourable financing conditions to help counter the negative pandemic shock to the path of inflation. 
The Governing Council will continue to reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2023. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance. 
Third, net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. 
The Governing Council also intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
Finally, the Governing Council will continue to provide ample liquidity through its refinancing operations. In particular, the third series of targeted longer-term refinancing operations (TLTRO III) remains an attractive source of funding for banks, supporting bank lending to firms and households.
The Governing Council continues to stand ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry. 
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-12-10,Monetary Policy Decisions,"
10 December 2020
In view of the economic fallout from the resurgence of the pandemic, today the Governing Council recalibrated its monetary policy instruments as follows: 
First, the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00 per cent, 0.25 per cent and -0.50 per cent respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2 per cent within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
Second, the Governing Council decided to increase the envelope of the pandemic emergency purchase programme (PEPP) by €500 billion to a total of €1,850 billion. It also extended the horizon for net purchases under the PEPP to at least the end of March 2022. In any case, the Governing Council will conduct net purchases until it judges that the coronavirus crisis phase is over. 
The Governing Council also decided to extend the reinvestment of principal payments from maturing securities purchased under the PEPP until at least the end of 2023. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.
Third, the Governing Council decided to further recalibrate the conditions of the third series of targeted longer-term refinancing operations (TLTRO III). Specifically, it decided to extend the period over which considerably more favourable terms will apply by twelve months, to June 2022. Three additional operations will also be conducted between June and December 2021. Moreover, the Governing Council decided to raise the total amount that counterparties will be entitled to borrow in TLTRO III operations from 50 per cent to 55 per cent of their stock of eligible loans. In order to provide an incentive for banks to sustain the current level of bank lending, the recalibrated TLTRO III borrowing conditions will be made available only to banks that achieve a new lending performance target. 
Fourth, the Governing Council decided to extend to June 2022 the duration of the set of collateral easing measures adopted by the Governing Council on 7 and 22 April 2020. The extension of these measures will continue to ensure that banks can make full use of the Eurosystem’s liquidity operations, most notably the recalibrated TLTROs. The Governing Council will reassess the collateral easing measures before June 2022, ensuring that Eurosystem counterparties’ participation in TLTRO III operations is not adversely affected.
Fifth, the Governing Council also decided to offer four additional pandemic emergency longer-term refinancing operations (PELTROs) in 2021, which will continue to provide an effective liquidity backstop.
Sixth, net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. 
The Governing Council also intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
Seventh, the Eurosystem repo facility for central banks (EUREP) and all temporary swap and repo lines with non-euro area central banks will be extended until March 2022. 
Finally, the Governing Council decided to continue conducting its regular lending operations as fixed rate tender procedures with full allotment at the prevailing conditions for as long as necessary. 
Separate press releases with further details of the measures taken by the Governing Council will be published this afternoon at 15:30 CET.
The monetary policy measures taken today will contribute to preserving favourable financing conditions over the pandemic period, thereby supporting the flow of credit to all sectors of the economy, underpinning economic activity and safeguarding medium-term price stability. At the same time, uncertainty remains high, including with regard to the dynamics of the pandemic and the timing of vaccine roll-outs. We will also continue to monitor developments in the exchange rate with regard to their possible implications for the medium-term inflation outlook. The Governing Council therefore continues to stand ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-10-29,Monetary Policy Decisions,"
29 October 2020
In the current environment of risks clearly tilted to the downside, the Governing Council will carefully assess the incoming information, including the dynamics of the pandemic, prospects for a rollout of vaccines and developments in the exchange rate. The new round of Eurosystem staff macroeconomic projections in December will allow a thorough reassessment of the economic outlook and the balance of risks. On the basis of this updated assessment, the Governing Council will recalibrate its instruments, as appropriate, to respond to the unfolding situation and to ensure that financing conditions remain favourable to support the economic recovery and counteract the negative impact of the pandemic on the projected inflation path. This will foster the convergence of inflation towards its aim in a sustained manner, in line with its commitment to symmetry. 
In the meantime, the Governing Council of the ECB took the following monetary policy decisions:
(1) The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
(2) The Governing Council will continue its purchases under the pandemic emergency purchase programme (PEPP) with a total envelope of €1,350 billion. These purchases contribute to easing the overall monetary policy stance, thereby helping to offset the downward impact of the pandemic on the projected path of inflation. The purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions. This allows the Governing Council to effectively stave off risks to the smooth transmission of monetary policy. The Governing Council will conduct net asset purchases under the PEPP until at least the end of June 2021 and, in any case, until it judges that the coronavirus crisis phase is over. The Governing Council will reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2022. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.
(3) Net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion, together with the purchases under the additional €120 billion temporary envelope until the end of the year. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. The Governing Council intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
(4) The Governing Council will also continue to provide ample liquidity through its refinancing operations. In particular, the third series of targeted longer-term refinancing operations (TLTRO III) remains an attractive source of funding for banks, supporting bank lending to firms and households. 
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-09-10,Monetary Policy Decisions,"
10 September 2020
At today’s meeting the Governing Council of the ECB took the following monetary policy decisions:
(1) The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
(2) The Governing Council will continue its purchases under the pandemic emergency purchase programme (PEPP) with a total envelope of €1,350 billion. These purchases contribute to easing the overall monetary policy stance, thereby helping to offset the downward impact of the pandemic on the projected path of inflation. The purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions. This allows the Governing Council to effectively stave off risks to the smooth transmission of monetary policy. The Governing Council will conduct net asset purchases under the PEPP until at least the end of June 2021 and, in any case, until it judges that the coronavirus crisis phase is over. The Governing Council will reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2022. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.
(3) Net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion, together with the purchases under the additional €120 billion temporary envelope until the end of the year. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. The Governing Council intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
(4) The Governing Council will also continue to provide ample liquidity through its refinancing operations. In particular, the latest operation in the third series of targeted longer-term refinancing operations (TLTRO III) has registered a very high take-up of funds, supporting bank lending to firms and households.
The Governing Council continues to stand ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-07-16,Monetary Policy Decisions,"
At today’s meeting the Governing Council of the ECB took the following monetary policy decisions:
(1) The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
(2) The Governing Council will continue its purchases under the pandemic emergency purchase programme (PEPP) with a total envelope of €1,350 billion. These purchases contribute to easing the overall monetary policy stance, thereby helping to offset the pandemic-related downward shift in the projected path of inflation. The purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions. This allows the Governing Council to effectively stave off risks to the smooth transmission of monetary policy. The Governing Council will conduct net asset purchases under the PEPP until at least the end of June 2021 and, in any case, until it judges that the coronavirus crisis phase is over. The Governing Council will reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2022. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance.
(3) Net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion, together with the purchases under the additional €120 billion temporary envelope until the end of the year. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. The Governing Council intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
(4) The Governing Council will also continue to provide ample liquidity through its refinancing operations. In particular, the latest operation in the third series of targeted longer-term refinancing operations (TLTRO III) has registered a very high take-up of funds, supporting bank lending to firms and households.
The Governing Council continues to stand ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-06-04,Monetary Policy Decisions,"
At today’s meeting the Governing Council of the ECB took the following monetary policy decisions:
(1) The envelope for the pandemic emergency purchase programme (PEPP) will be increased by €600 billion to a total of €1,350 billion. In response to the pandemic-related downward revision to inflation over the projection horizon, the PEPP expansion will further ease the general monetary policy stance, supporting funding conditions in the real economy, especially for businesses and households. The purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions. This allows the Governing Council to effectively stave off risks to the smooth transmission of monetary policy. 
(2) The horizon for net purchases under the PEPP will be extended to at least the end of June 2021. In any case, the Governing Council will conduct net asset purchases under the PEPP until it judges that the coronavirus crisis phase is over.
(3) The maturing principal payments from securities purchased under the PEPP will be reinvested until at least the end of 2022. In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary stance.
(4) Net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion, together with the purchases under the additional €120 billion temporary envelope until the end of the year. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates.
(5) Reinvestments of the principal payments from maturing securities purchased under the APP will continue, in full, for an extended period of time past the date when the Governing Council starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation.
(6) The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
The Governing Council continues to stand ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-04-30,Monetary Policy Decisions,"
At today’s meeting the Governing Council of the ECB took the following monetary policy decisions:
(1) The conditions on the targeted longer-term refinancing operations (TLTRO III) have been further eased. Specifically, the Governing Council decided to reduce the interest rate on TLTRO III operations during the period from June 2020 to June 2021 to 50 basis points below the average interest rate on the Eurosystem’s main refinancing operations prevailing over the same period. Moreover, for counterparties whose eligible net lending reaches the lending performance threshold, the interest rate over the period from June 2020 to June 2021 will now be 50 basis points below the average deposit facility rate prevailing over the same period.
(2) A new series of non-targeted pandemic emergency longer-term refinancing operations (PELTROs) will be conducted to support liquidity conditions in the euro area financial system and contribute to preserving the smooth functioning of money markets by providing an effective liquidity backstop. The PELTROs consist of seven additional refinancing operations commencing in May 2020 and maturing in a staggered sequence between July and September 2021 in line with the duration of the collateral easing measures. They will be carried out as fixed rate tender procedures with full allotment, with an interest rate that is 25 basis points below the average rate on the main refinancing operations prevailing over the life of each PELTRO.
(3) Since the end of March, purchases have been conducted under the Governing Council’s new pandemic emergency purchase programme (PEPP), which has an overall envelope of €750 billion, to ease the overall monetary policy stance and to counter the severe risks to the monetary policy transmission mechanism and the outlook for the euro area posed by the coronavirus pandemic. These purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions. The Governing Council will conduct net asset purchases under the PEPP until it judges that the coronavirus crisis phase is over, but in any case until the end of this year.
(4) Moreover, net purchases under the asset purchase programme (APP) will continue at a monthly pace of €20 billion, together with the purchases under the additional €120 billion temporary envelope until the end of the year. The Governing Council continues to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates.
(5) Reinvestments of the principal payments from maturing securities purchased under the APP will continue, in full, for an extended period of time past the date when the Governing Council starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation.
(6) The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
The Governing Council is fully prepared to increase the size of the PEPP and adjust its composition, by as much as necessary and for as long as needed. In any case, it stands ready to adjust all of its instruments, as appropriate, to ensure that inflation moves towards its aim in a sustained manner, in line with its commitment to symmetry.
Further details on the amendments made to the terms of TLTRO III and on the new PELTROs will be published in dedicated press releases this afternoon at 15:30 CET.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-03-18,Monetary Policy Decisions,"
The Governing Council decided the following: 
(1) To launch a new temporary asset purchase programme of private and public sector securities to counter the serious risks to the monetary policy transmission mechanism and the outlook for the euro area posed by the outbreak and escalating diffusion of the coronavirus, COVID-19. 
This new Pandemic Emergency Purchase Programme (PEPP) will have an overall envelope of €750 billion. Purchases will be conducted until the end of 2020 and will include all the asset categories eligible under the existing asset purchase programme (APP). 
For the purchases of public sector securities, the benchmark allocation across jurisdictions will continue to be the capital key of the national central banks. At the same time, purchases under the new PEPP will be conducted in a flexible manner. This allows for fluctuations in the distribution of purchase flows over time, across asset classes and among jurisdictions. 
A waiver of the eligibility requirements for securities issued by the Greek government will be granted for purchases under PEPP. 
The Governing Council will terminate net asset purchases under PEPP once it judges that the coronavirus Covid-19 crisis phase is over, but in any case not before the end of the year.
(2) To expand the range of eligible assets under the corporate sector purchase programme (CSPP) to non-financial commercial paper, making all commercial papers of sufficient credit quality eligible for purchase under CSPP. 
(3) To ease the collateral standards by adjusting the main risk parameters of the collateral framework. In particular, we will expand the scope of Additional Credit Claims (ACC) to include claims related to the financing of the corporate sector. This will ensure that counterparties can continue to make full use of the Eurosystem’s refinancing operations. 
The Governing Council of the ECB is committed to playing its role in supporting all citizens of the euro area through this extremely challenging time. To that end, the ECB will ensure that all sectors of the economy can benefit from supportive financing conditions that enable them to absorb this shock. This applies equally to families, firms, banks and governments. 
The Governing Council will do everything necessary within its mandate. The Governing Council is fully prepared to increase the size of its asset purchase programmes and adjust their composition, by as much as necessary and for as long as needed. It will explore all options and all contingencies to support the economy through this shock. 
To the extent that some self-imposed limits might hamper action that the ECB is required to take in order to fulfil its mandate, the Governing Council will consider revising them to the extent necessary to make its action proportionate to the risks that we face. The ECB will not tolerate any risks to the smooth transmission of its monetary policy in all jurisdictions of the euro area.
"
2020-03-12,Monetary Policy Decisions,"
At today’s meeting the Governing Council decided on a comprehensive package of monetary policy measures:
(1) Additional longer-term refinancing operations (LTROs) will be conducted, temporarily, to provide immediate liquidity support to the euro area financial system. Although the Governing Council does not see material signs of strains in money markets or liquidity shortages in the banking system, these operations will provide an effective backstop in case of need. They will be carried out through a fixed rate tender procedure with full allotment, with an interest rate that is equal to the average rate on the deposit facility. The LTROs will provide liquidity at favourable terms to bridge the period until the TLTRO III operation in June 2020. 
(2) In TLTRO III, considerably more favourable terms will be applied during the period from June 2020 to June 2021 to all TLTRO III operations outstanding during that same time. These operations will support bank lending to those affected most by the spread of the coronavirus, in particular small and medium-sized enterprises. Throughout this period, the interest rate on these TLTRO III operations will be 25 basis points below the average rate applied in the Eurosystem’s main refinancing operations. For counterparties that maintain their levels of credit provision, the rate applied in these operations will be lower, and, over the period ending in June 2021, can be as low as 25 basis points below the average interest rate on the deposit facility. Moreover, the maximum total amount that counterparties will henceforth be entitled to borrow in TLTRO III operations is raised to 50% of their stock of eligible loans as at 28 February 2019. In this context, the Governing Council will mandate the Eurosystem committees to investigate collateral easing measures to ensure that counterparties continue to be able to make full use of the funding support. 
(3) A temporary envelope of additional net asset purchases of €120 billion will be added until the end of the year, ensuring a strong contribution from the private sector purchase programmes. In combination with the existing asset purchase programme (APP), this will support favourable financing conditions for the real economy in times of heightened uncertainty. 
The Governing Council continues to expect net asset purchases to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates.
(4) The interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
(5) Reinvestments of the principal payments from maturing securities purchased under the APP will continue, in full, for an extended period of time past the date when the Governing Council starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation.
Further details on the precise terms of the new operations will be published in dedicated press releases this afternoon at 15:30 CET.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2020-01-23,Monetary Policy Decisions,"
At today’s meeting the Governing Council of the European Central Bank (ECB) decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
The Governing Council will continue to make net purchases under its asset purchase programme (APP) at a monthly pace of €20 billion. The Governing Council expects them to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. 
The Governing Council intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation.
The Governing Council also decided to launch a review of the ECB’s monetary policy strategy. Further details about the scope and timetable of the review will be published in a press release today at 15:30 CET.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
2019-12-12,Monetary Policy Decisions,"
At today’s meeting the Governing Council of the European Central Bank (ECB) decided that the interest rate on the main refinancing operations and the interest rates on the marginal lending facility and the deposit facility will remain unchanged at 0.00%, 0.25% and -0.50% respectively. The Governing Council expects the key ECB interest rates to remain at their present or lower levels until it has seen the inflation outlook robustly converge to a level sufficiently close to, but below, 2% within its projection horizon, and such convergence has been consistently reflected in underlying inflation dynamics.
On 1 November net purchases were restarted under the Governing Council’s asset purchase programme (APP) at a monthly pace of €20 billion. The Governing Council expects them to run for as long as necessary to reinforce the accommodative impact of its policy rates, and to end shortly before it starts raising the key ECB interest rates. 
The Governing Council intends to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when it starts raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation.
The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 14:30 CET today.
"
